,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1682,2024-08-09,7.7813302476315815,4.645211942230375,9.376312069549282,5.765811769207684,9.889753489257398,-0.7090369261377989,-0.7090369261377989,-0.7090369261377989,-0.029077758308861605,-0.029077758308861605,-0.029077758308861605,-0.6799591678289373,-0.6799591678289373,-0.6799591678289373,0.0,0.0,0.0,7.072293321493783
1683,2024-08-10,7.775416070786223,4.74041100110281,9.406227177322839,5.75105465246677,9.897810964165677,-0.7768216652936394,-0.7768216652936394,-0.7768216652936394,-0.10563033901101429,-0.10563033901101429,-0.10563033901101429,-0.6711913262826251,-0.6711913262826251,-0.6711913262826251,0.0,0.0,0.0,6.998594405492583
1684,2024-08-11,7.769501893940864,4.476824843768388,9.324795508594667,5.736297535725858,9.90681681979655,-0.7712159486540918,-0.7712159486540918,-0.7712159486540918,-0.11236391594485694,-0.11236391594485694,-0.11236391594485694,-0.6588520327092348,-0.6588520327092348,-0.6588520327092348,0.0,0.0,0.0,6.9982859452867725
1685,2024-08-12,7.763587717095504,4.821815291975955,9.759998630188377,5.721540418984944,9.915822675427425,-0.5458533201510702,-0.5458533201510702,-0.5458533201510702,0.09696487492082337,0.09696487492082337,0.09696487492082337,-0.6428181950718935,-0.6428181950718935,-0.6428181950718935,0.0,0.0,0.0,7.217734396944434
1686,2024-08-13,7.7576735402501455,4.8347161511485375,9.715244758617375,5.707067394383516,9.907091366515562,-0.5525519608499454,-0.5525519608499454,-0.5525519608499454,0.07044047010645849,0.07044047010645849,0.07044047010645849,-0.6229924309564039,-0.6229924309564039,-0.6229924309564039,0.0,0.0,0.0,7.2051215794002
1687,2024-08-14,7.751759363404787,4.894905788905263,9.61541342722667,5.690450927917411,9.913383716794606,-0.5357575597588069,-0.5357575597588069,-0.5357575597588069,0.06355527524275718,0.06355527524275718,0.06355527524275718,-0.5993128350015641,-0.5993128350015641,-0.5993128350015641,0.0,0.0,0.0,7.21600180364598
1688,2024-08-15,7.745845186559429,4.6675623895389435,9.559505906199163,5.671975281331043,9.91967606707365,-0.5556506831072558,-0.5556506831072558,-0.5556506831072558,0.016111392994155153,0.016111392994155153,0.016111392994155153,-0.5717620761014109,-0.5717620761014109,-0.5717620761014109,0.0,0.0,0.0,7.190194503452173
1689,2024-08-16,7.739931009714068,4.689166762622711,9.739916491711119,5.6561461178773165,9.92596841735269,-0.5694532258182325,-0.5694532258182325,-0.5694532258182325,-0.029077758308589507,-0.029077758308589507,-0.029077758308589507,-0.540375467509643,-0.540375467509643,-0.540375467509643,0.0,0.0,0.0,7.170477783895835
1690,2024-08-17,7.7340168328687104,4.6446799300644805,9.53358680342866,5.635304948613241,9.93170976779851,-0.6108780226957529,-0.6108780226957529,-0.6108780226957529,-0.10563033901120582,-0.10563033901120582,-0.10563033901120582,-0.5052476836845471,-0.5052476836845471,-0.5052476836845471,0.0,0.0,0.0,7.123138810172957
1691,2024-08-18,7.728102656023352,4.624381893054526,9.55218258616377,5.614463779349164,9.936894458508165,-0.5789017550000467,-0.5789017550000467,-0.5789017550000467,-0.11236391594478723,-0.11236391594478723,-0.11236391594478723,-0.46653783905525953,-0.46653783905525953,-0.46653783905525953,0.0,0.0,0.0,7.149200901023305
1692,2024-08-19,7.7221884791779924,4.946962223688933,9.859112451739763,5.5936226100850845,9.941968870378556,-0.3275078196529919,-0.3275078196529919,-0.3275078196529919,0.09696487492091561,0.09696487492091561,0.09696487492091561,-0.4244726945739075,-0.4244726945739075,-0.4244726945739075,0.0,0.0,0.0,7.394680659525001
1693,2024-08-20,7.716274302332634,4.880662494559534,10.031333571714208,5.571204222906977,9.955950789460003,-0.3089073462897644,-0.3089073462897644,-0.3089073462897644,0.07044047010636281,0.07044047010636281,0.07044047010636281,-0.3793478163961272,-0.3793478163961272,-0.3793478163961272,0.0,0.0,0.0,7.407366956042869
