ferramenta,taxa_abertura,flag_cobranca,flag_emoji,flag_exclamacao,flag_dinheiro,flag_fatura,flag_limite,flag_cashback,flag_nome,n_palavras,sentiment,sentimento,adjective,adposition,adverb,auxiliary,coordinating conjunction,determiner,interjection,noun,numeral,other,pronoun,proper noun,punctuation,space,subordinating conjunction,symbol,verb,cluster_hero,cluster_dbscan,cluster_dbscan_tsne,ano,dia,mes,dia_semana,hora
Salesforce,0.4472587583135017,1,0,1,0,0,0,0,0,2,0.0,neutro,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,4,2023,19,7,Wednesday,15
Salesforce,0.3565882246772491,0,0,1,0,0,0,0,0,5,0.0,neutro,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,2,2022,19,12,Monday,18
Infobip,0.1935070698486887,0,1,0,0,0,0,0,0,11,0.0,ruim,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,6,0,6,2023,31,5,Wednesday,12
Infobip,0.21671067369161656,0,0,0,0,1,0,0,0,9,0.0,bom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,16.0,12,0,3,2023,26,3,Sunday,10
Infobip,0.09854003201529347,1,0,1,0,0,0,0,0,7,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,7,1,9,2023,3,3,Friday,17
Salesforce,0.2706408012050645,1,0,0,0,0,0,0,0,5,0.0,bom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,12,0,3,2022,14,10,Friday,15
Salesforce,0.19689708959863306,0,0,0,0,0,0,0,0,6,0.4019,neutro,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6,0,6,2023,5,7,Wednesday,19
Salesforce,0.3029132283070768,1,0,1,0,0,0,0,0,3,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,8,0,6,2022,28,9,Wednesday,13
Salesforce,0.3555794952199771,0,0,1,0,0,0,0,0,5,0.0,neutro,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,2,2022,12,12,Monday,12
Infobip,0.10982811097538754,1,0,0,0,0,0,0,0,8,0.0,neutro,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0,0,5,2023,2,3,Thursday,16
Salesforce,0.31020714694397733,0,0,0,0,0,0,0,0,4,0.0,neutro,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,14,2023,15,2,Wednesday,20
Salesforce,0.15179783672963354,1,0,0,0,0,0,0,0,4,0.0,bom,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,2,2023,2,5,Tuesday,15
