,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,faixa_propensao
385,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento C avg_vl_total_spending nr_declared_income ganho_limite,700,779,154814,207177,0.8985879332477535,0.747254762835643,0.15133317041211058,0.15133317041211058,0. Grupo com propensão inf a 1%
6726,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,186,207,154814,207177,0.8985507246376812,0.747254762835643,0.1512959618020382,0.1512959618020382,0. Grupo com propensão inf a 1%
9858,- C tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,62,69,154814,207177,0.8985507246376812,0.747254762835643,0.1512959618020382,0.1512959618020382,0. Grupo com propensão inf a 1%
4635,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,140,697,10279,207177,0.20086083213773315,0.049614580769100816,0.15124625136863235,0.15124625136863235,1. Grupo com propensão inf a 3%
5679,- D tempo_aprovacao A flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente,106,118,154814,207177,0.8983050847457628,0.747254762835643,0.1510503219101198,0.1510503219101198,0. Grupo com propensão inf a 1%
434,- A tempo_aprovacao C flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income,114,592,8638,207177,0.19256756756756757,0.041693817363896574,0.150873750203671,0.150873750203671,2. Grupo com propensão inf a 8%
206,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento,3768,4196,154814,207177,0.897998093422307,0.747254762835643,0.150743330586664,0.150743330586664,0. Grupo com propensão inf a 1%
13503,- D tempo_aprovacao A flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,70,78,154814,207177,0.8974358974358975,0.747254762835643,0.1501811346002545,0.1501811346002545,0. Grupo com propensão inf a 1%
287,- B tempo_aprovacao A flag_autonomo D dias_atraso tempo_relacionamento avg_vl_total_spending,70,78,154814,207177,0.8974358974358975,0.747254762835643,0.1501811346002545,0.1501811346002545,0. Grupo com propensão inf a 1%
6491,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente,96,107,154814,207177,0.897196261682243,0.747254762835643,0.14994149884660002,0.14994149884660002,0. Grupo com propensão inf a 1%
