,flag_mgm,flag_mgm
,mean,count
segmento_v1,,
BBAAACBA,0.03225806451612903,62
BBAAACBB,0.008403361344537815,119
BBAABAAA,0.009404388714733543,319
BBAABAAB,0.004319654427645789,463
BBAABABA,0.011135857461024499,449
BBAABABB,0.012968299711815562,694
BBAABBAA,0.014234875444839857,281
BBAABBAB,0.003861003861003861,518
BBAABBBA,0.04452054794520548,292
BBAABBBB,0.03346456692913386,508
BBAABCAA,0.004405286343612335,227
BBAABCAB,0.011009174311926606,545
BBAABCBA,0.046052631578947366,152
BBAABCBB,0.03164556962025317,316
BBAACAAA,0.012048192771084338,83
BBAACAAB,0.007462686567164179,134
BBAACABA,0.016129032258064516,62
BBAACABB,0.013793103448275862,145
BBAACBAA,0.0,100
BBAACBAB,0.004807692307692308,208
BBAACBBA,0.045454545454545456,66
BBAACBBB,0.0273972602739726,146
BBAACCAA,0.009174311926605505,109
BBAACCAB,0.0,211
BBAACCBA,0.03333333333333333,30
BBAACCBB,0.07216494845360824,97
BBABAAAA,0.0,20
BBABAAAB,0.0,20
BBABAABA,0.08823529411764706,34
BBABAABB,0.05172413793103448,58
BBABABAA,0.0,17
BBABABAB,0.0,23
BBABABBA,0.12,25
BBABABBB,0.027777777777777776,36
BBABACAA,0.0,6
BBABACAB,0.0,11
BBABACBA,0.0,5
BBABACBB,0.0,15
BBABBAAA,0.0,30
BBABBAAB,0.017543859649122806,57
BBABBABA,0.10416666666666667,48
BBABBABB,0.07079646017699115,113
BBABBBAA,0.01818181818181818,55
BBABBBAB,0.013157894736842105,76
BBABBBBA,0.07407407407407407,54
BBABBBBB,0.049019607843137254,102
BBABBCAA,0.0,23
BBABBCAB,0.0196078431372549,51
BBABBCBA,0.05555555555555555,18
BBABBCBB,0.09302325581395349,43
BBABCAAA,0.03571428571428571,28
BBABCAAB,0.03333333333333333,60
BBABCABA,0.05555555555555555,36
BBABCABB,0.054945054945054944,91
BBABCBAA,0.0,39
BBABCBAB,0.012048192771084338,83
BBABCBBA,0.05128205128205128,39
BBABCBBB,0.05084745762711865,118
BBABCCAA,0.0,38
BBABCCAB,0.0,59
BBABCCBA,0.0,22
BBABCCBB,0.06349206349206349,63
BBBAAAAA,0.014234875444839857,281
BBBAAAAB,0.03592814371257485,501
BBBAAABA,0.07142857142857142,1218
BBBAAABB,0.07235621521335807,1617
BBBAABAA,0.06638115631691649,467
BBBAABAB,0.09047619047619047,840
BBBAABBA,0.10353798126951093,1922
BBBAABBB,0.11811594202898551,2760
BBBAACAA,0.026515151515151516,528
BBBAACAB,0.02815533980582524,1030
BBBAACBA,0.0947098976109215,1172
BBBAACBB,0.09521507974867086,2069
BBBABAAA,0.03093812375249501,1002
BBBABAAB,0.03009503695881732,1894
BBBABABA,0.07737189244038559,3942
BBBABABB,0.08245679939894816,5324
BBBABBAA,0.06109785202863962,2095
BBBABBAB,0.0665785997357992,3785
BBBABBBA,0.11715757495707305,7571
BBBABBBB,0.12879871290668574,11188
BBBABCAA,0.013716404077849862,5395
