dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-05-01,Conta,Recebimento de TED,83,19,4,4,R$ 3.982,R$ 10.726,"34,0"
2023-02-01,Fraude,Uso do cartão de débito,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Problemas com a compra,43,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Dúvidas sobre cartão,15,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Dúvidas em lançamentos,14,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Consulta Saldo,38,9,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Primeiro Desbloqueio de cartão,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Dúvidas sobre campanha gamificação,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Recebimento de PIX,9,1,1,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Dúvidas sobre campanha gamificação,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Recebimento de PIX,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Envio de PIX,23,3,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Chat duplicado,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Gestão do Bolso/Rendimento Conta,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Gestão de Recarga,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Tecnologia,Problema de Cadastro da proposta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketing,Gestão do Bolso/Rendimento Conta,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Dúvidas sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Lançamentos duplicados,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Compra internacional,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Gestão de Extrato,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Dúvidas sobre empréstimo/crédito pessoal,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Gestão do Bolso/Rendimento Conta,549,138,16,13,R$ 15.496,R$ 1.847,"35,9"
2023-02-01,Marketplace,Recebimento de PIX,22,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Rastreio de cartão,6,4,4,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Dúvidas Conta,1018,94,14,7,R$ 7.165,R$ 5.123,"36,8"
2023-06-01,Conta,Compensação fatura,22,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Cartão,Cancelamento de conta,8025,1135,682,558,R$ 389.065,R$ 903.013,"33,4"
2023-02-01,Conta,Gestão de Extrato,1173,384,45,39,R$ 33.528,R$ 35.122,"31,2"
2023-04-01,Fraude,Dúvidas sobre cartão,5,3,3,0,R$ 0,R$ 0,"0,0"
2023-01-01,Fraude,Cancelamento de compra no crédito,23,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Primeiro Desbloqueio de cartão,34,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Cartão,Cartão black,26,31,25,1,R$ 1.315,R$ 128,"63,9"
2023-02-01,Marketplace,Rastreio de cartão,12,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Resultado da Proposta,45,1,1,1,R$ 500,R$ 239,"36,8"
2023-05-01,Fraude,Informações sobre fatura,11,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Dúvidas sobre pagamento de fatura,10,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Wallet,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Dúvidas campanha,6,2,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Canais de atendimento,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Parcelamento de compra,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Informações sobre cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Devolução,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Resultado da Proposta,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Atendimento de terceiros,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Gerar fatura,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Member Get Member (MGM),2,1,0,0,R$ 0,R$ 0,"0,0"
